thesis_registry_id,thesis_zdd_index,facts_count,permitted_cases_count,mean_vector_length,stdev_vector_length,thesis_decision_space_model_size,model_size_deviation_from_mean,model_size_abs_deviation_from_mean,model_size_zscore
2020599,150,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
2020615,151,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
2021246,2,5,15,2.4,1.352247,36,-230.453947,230.453947,-0.583296
2021398,3,8,93,3.462366,1.395327,322,55.546053,55.546053,0.140591
2021537,4,7,46,3.065217,1.388879,141,-125.453947,125.453947,-0.317533
2022776,152,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
2023487,5,7,48,2.791667,1.219667,134,-132.453947,132.453947,-0.335251
2024088,22,7,42,3.309524,1.439649,139,-127.453947,127.453947,-0.322595
2025237,6,6,20,2.9,1.552587,58,-208.453947,208.453947,-0.527612
2025433,7,6,27,2.888889,1.476309,78,-188.453947,188.453947,-0.476991
2029251,8,6,27,2.777778,1.42325,75,-191.453947,191.453947,-0.484584
2030499,9,7,28,3.142857,1.736627,88,-178.453947,178.453947,-0.45168
2030500,10,8,53,3.132075,1.345044,166,-100.453947,100.453947,-0.254256
2030717,11,7,35,2.828571,1.382362,99,-167.453947,167.453947,-0.423838
